Date,Open,High,Low,Close,Volume,Company
2021-02-10,1784.6779,1808.6079,1757.6028,1800.6768,470988,RELIANCE.BSE
2021-02-09,1793.7941,1814.1232,1779.4817,1783.0826,602162,RELIANCE.BSE
2021-02-08,1760.5200,1794.2955,1758.5600,1779.0259,702232,RELIANCE.BSE
2021-02-05,1762.1609,1772.3711,1750.3099,1753.9563,322014,RELIANCE.BSE
2021-02-04,1751.2215,1768.2688,1736.6811,1753.9108,1619015,RELIANCE.BSE
2021-02-03,1756.6912,1778.5701,1732.0775,1759.6995,921546,RELIANCE.BSE
2021-02-02,1746.3899,1766.9925,1691.0546,1756.1898,1088933,RELIANCE.BSE
2021-02-01,1682.1207,1736.3621,1682.1207,1727.8384,818509,RELIANCE.BSE
2021-01-29,1729.0691,1742.7890,1668.2641,1680.2519,926815,RELIANCE.BSE
2021-01-28,1712.9335,1753.3638,1704.8656,1710.7456,2069380,RELIANCE.BSE
2021-01-27,1759.6084,1759.6084,1721.1380,1727.7473,1740178,RELIANCE.BSE
2021-01-25,1870.6437,1870.6437,1761.4316,1768.2688,1345520,RELIANCE.BSE
2021-01-22,1927.8934,1928.8962,1855.3285,1868.5014,507943,RELIANCE.BSE
2021-01-21,1897.9923,1932.4515,1891.6109,1912.4414,1545088,RELIANCE.BSE
2021-01-20,1843.7509,1876.1590,1824.3790,1873.2418,488577,RELIANCE.BSE
2021-01-19,1817.7697,1851.4085,1817.4507,1838.0988,591919,RELIANCE.BSE
2021-01-18,1768.5423,1820.1399,1752.7257,1808.1977,1363505,RELIANCE.BSE
2021-01-15,1786.7746,1798.7624,1750.4466,1766.3544,1266407,RELIANCE.BSE
2021-01-14,1767.7218,1792.7002,1764.9414,1787.3216,1829840,RELIANCE.BSE
2021-01-13,1791.1504,1800.4034,1749.0792,1767.7218,474934,RELIANCE.BSE
2021-01-12,1741.1937,1786.7746,1732.0775,1783.7207,497793,RELIANCE.BSE
2021-01-11,1763.9842,1767.5395,1725.0124,1729.3426,415573,RELIANCE.BSE
2021-01-08,1751.1303,1766.9013,1743.6550,1762.2065,299804,RELIANCE.BSE
2021-01-07,1752.0419,1773.2827,1737.2281,1742.1053,564975,RELIANCE.BSE
2021-01-06,1794.0676,1794.0676,1736.6356,1744.9769,864039,RELIANCE.BSE
2021-01-05,1797.7597,1808.6535,1783.1282,1792.2444,338549,RELIANCE.BSE
2021-01-04,1812.8014,1821.3250,1793.9764,1814.7158,345853,RELIANCE.BSE
2021-01-01,1810.6135,1820.7781,1807.1038,1811.5251,157713,RELIANCE.BSE
2020-12-31,1818.4534,1833.2673,1805.0070,1809.2461,465795,RELIANCE.BSE
2020-12-30,1816.4479,1829.4840,1801.2694,1819.1371,224277,RELIANCE.BSE
2020-12-29,1829.9398,1834.9082,1807.3773,1813.3939,250017,RELIANCE.BSE
2020-12-28,1826.9771,1845.9388,1819.2283,1826.2022,335518,RELIANCE.BSE
2020-12-24,1778.3877,1822.0088,1774.9692,1817.6786,289379,RELIANCE.BSE
2020-12-23,1761.9786,1778.7524,1750.3099,1772.0064,299743,RELIANCE.BSE
2020-12-22,1768.5423,1785.3161,1720.9101,1765.4427,972241,RELIANCE.BSE
2020-12-21,1832.3556,1843.2951,1692.0118,1768.3143,1499610,RELIANCE.BSE
2020-12-18,1807.7419,1827.7975,1791.3327,1816.1744,218330,RELIANCE.BSE
2020-12-17,1805.8275,1827.7975,1802.3633,1809.6107,238834,RELIANCE.BSE
2020-12-16,1812.3000,1818.6813,1792.0165,1801.4061,272748,RELIANCE.BSE
